Date;Time;day_of_week;CO_GT_;PT08S1_CO_;C6H6_GT_;PT08S2_NMHC_;NOx_GT_;PT08S3_NOx_;NO2_GT_;PT08S4_NO2_;PT08S5_O3_;T;RH;AH
15.03.2004;00:00:00;Monday;1,8;1239;7,4;872;104;985;99;1547;1250;14,8;54,7;0,9164
15.03.2004;01:00:00;Monday;1,8;1239;6,9;853;106;1010;93;1543;1174;14;57;0,9094
15.03.2004;02:00:00;Monday;1,8;1224;7;855;108;998;88;1566;1149;13,4;61,3;0,9361
15.03.2004;03:00:00;Monday;1,1;1078;4,4;734;NA;1128;NA;1487;1021;12,6;63,5;0,923
15.03.2004;04:00:00;Monday;NA;1078;4;711;66;1150;71;1468;1013;12,3;65,4;0,9351
15.03.2004;05:00:00;Monday;1;1075;3,9;703;88;1156;74;1464;1010;11,9;67,4;0,9375
15.03.2004;06:00:00;Monday;1,4;1157;6,4;830;138;1030;80;1584;1083;11,4;70,5;0,9475
15.03.2004;07:00:00;Monday;2,2;1314;9,7;966;228;897;89;1710;1235;11,3;70,2;0,9401
15.03.2004;08:00:00;Monday;5,5;1797;25,9;1451;360;652;114;2323;1680;12,4;63,9;0,917
15.03.2004;09:00:00;Monday;8,1;1961;36,7;1701;478;537;149;2665;2184;14,8;54,3;0,9076
15.03.2004;10:00:00;Monday;5,8;1771;26,6;1470;394;622;157;2262;1973;17,4;45,6;0,8993
15.03.2004;11:00:00;Monday;4,2;1564;20,1;1300;319;710;155;2029;1798;19,8;38,5;0,8801
15.03.2004;12:00:00;Monday;3,1;1430;14,1;1120;201;831;134;1783;1522;22;34,1;0,8904
15.03.2004;13:00:00;Monday;2,9;1417;14,9;1146;171;830;119;1831;1404;23,3;32,2;0,9096
15.03.2004;14:00:00;Monday;2,9;1400;15,4;1162;159;838;111;1829;1263;23,9;30;0,8757
15.03.2004;15:00:00;Monday;2,5;1317;12,1;1053;153;926;104;1707;1137;24,4;28,9;0,8736
15.03.2004;16:00:00;Monday;2,3;1318;11,5;1033;143;950;99;1675;1068;24,4;29,4;0,8848
15.03.2004;17:00:00;Monday;2,8;1445;14,8;1141;156;857;110;1824;1252;23,8;31,3;0,9137
15.03.2004;18:00:00;Monday;6,1;1917;32,1;1601;314;631;162;2447;1843;22,5;35,4;0,9547
15.03.2004;19:00:00;Monday;8;2040;39,2;1754;404;542;187;2679;2122;20,4;42,5;1,0086
15.03.2004;20:00:00;Monday;6,5;1895;31;1573;320;565;165;2443;1992;18,3;52,6;1,0945
15.03.2004;21:00:00;Monday;4,2;1595;19,9;1294;256;678;145;2058;1707;16,7;57,4;1,0786
15.03.2004;22:00:00;Monday;3,2;1439;15,3;1159;193;764;125;1856;1494;15,7;60,2;1,0654
15.03.2004;23:00:00;Monday;1,4;1142;6,9;852;89;1008;101;1547;1164;15,3;61,4;1,058
16.03.2004;00:00:00;Tuesday;2,1;1304;11,1;1019;127;852;103;1731;1272;14,1;65,7;1,0494
16.03.2004;01:00:00;Tuesday;1,2;1074;5,4;784;79;1098;88;1483;1040;14,8;60,6;1,0148
16.03.2004;02:00:00;Tuesday;0,8;968;2,8;640;43;1320;61;1386;867;14,8;59,2;0,9879
16.03.2004;03:00:00;Tuesday;0,7;929;2,3;608;NA;1376;NA;1364;826;13,6;62,1;0,9636
16.03.2004;04:00:00;Tuesday;NA;941;2,6;626;59;1316;59;1373;840;12,3;66,2;0,945
16.03.2004;05:00:00;Tuesday;0,6;937;2;585;38;1412;52;1348;793;12,8;63,2;0,9283
16.03.2004;06:00:00;Tuesday;0,9;1017;3,5;681;82;1246;64;1418;870;11,2;68,5;0,9081
16.03.2004;07:00:00;Tuesday;1,3;1171;5,1;770;99;1162;70;1467;930;11;66,5;0,8705
16.03.2004;08:00:00;Tuesday;3,4;1541;16,2;1185;263;770;97;1889;1407;11,7;63,7;0,8719
16.03.2004;09:00:00;Tuesday;3,7;1539;19,7;1287;229;698;95;2055;1507;13,6;56,3;0,8743
16.03.2004;10:00:00;Tuesday;5,3;1735;25,1;1431;396;628;150;2211;1843;17,8;42,9;0,8672
16.03.2004;11:00:00;Tuesday;4,1;1571;20;1297;314;730;162;1973;1729;21,4;33,3;0,8417
16.03.2004;12:00:00;Tuesday;3,3;1452;18,3;1250;217;776;154;1868;1583;24,4;27,4;0,8231
16.03.2004;13:00:00;Tuesday;4;1579;22,3;1359;252;724;161;1998;1671;25,3;26,1;0,8264
16.03.2004;14:00:00;Tuesday;3,8;1466;20,4;1309;263;773;161;1897;1491;25,8;23,2;0,7589
16.03.2004;15:00:00;Tuesday;2,8;1280;14,6;1136;180;893;128;1675;1240;27;20,2;0,7094
16.03.2004;16:00:00;Tuesday;2,9;1407;16,6;1197;184;905;129;1759;1313;28,2;18,6;0,7014
16.03.2004;17:00:00;Tuesday;2,9;1389;15,8;1173;190;898;133;1739;1363;28;19,1;0,7098
16.03.2004;18:00:00;Tuesday;3,4;1447;17,8;1235;184;859;139;1778;1296;23,9;25,7;0,7519
16.03.2004;19:00:00;Tuesday;3,9;1551;19,1;1271;181;800;137;1875;1432;21,3;34,8;0,873
16.03.2004;20:00:00;Tuesday;3,2;1474;15,8;1173;166;854;143;1776;1432;20,4;36,7;0,8704
16.03.2004;21:00:00;Tuesday;5,1;1800;24,9;1426;317;700;177;2106;2034;19;41,3;0,9007
