Date;Time;PT08S1_CO_
15.03.2004;00:00:00;1239
15.03.2004;01:00:00;1239
15.03.2004;02:00:00;1224
15.03.2004;03:00:00;1078
15.03.2004;04:00:00;1078
15.03.2004;05:00:00;1075
15.03.2004;06:00:00;1157
15.03.2004;07:00:00;1314
15.03.2004;08:00:00;1797
15.03.2004;09:00:00;1961
15.03.2004;10:00:00;1771
15.03.2004;11:00:00;1564
15.03.2004;12:00:00;1430
15.03.2004;13:00:00;1417
15.03.2004;14:00:00;1400
15.03.2004;15:00:00;1317
15.03.2004;16:00:00;1318
15.03.2004;17:00:00;1445
15.03.2004;18:00:00;1917
15.03.2004;19:00:00;2040
15.03.2004;20:00:00;1895
15.03.2004;21:00:00;1595
15.03.2004;22:00:00;1439
15.03.2004;23:00:00;1142
16.03.2004;00:00:00;1304
16.03.2004;01:00:00;1074
16.03.2004;02:00:00;968
16.03.2004;03:00:00;929
16.03.2004;04:00:00;941
16.03.2004;05:00:00;937
16.03.2004;06:00:00;1017
16.03.2004;07:00:00;1171
16.03.2004;08:00:00;1541
16.03.2004;09:00:00;1539
16.03.2004;10:00:00;1735
16.03.2004;11:00:00;1571
16.03.2004;12:00:00;1452
16.03.2004;13:00:00;1579
16.03.2004;14:00:00;1466
16.03.2004;15:00:00;1280
16.03.2004;16:00:00;1407
16.03.2004;17:00:00;1389
16.03.2004;18:00:00;1447
16.03.2004;19:00:00;1551
16.03.2004;20:00:00;1474
16.03.2004;21:00:00;1800
16.03.2004;22:00:00;1379
16.03.2004;23:00:00;1201
17.03.2004;00:00:00;1205
17.03.2004;01:00:00;1072
17.03.2004;02:00:00;998
17.03.2004;03:00:00;933
17.03.2004;04:00:00;883
17.03.2004;05:00:00;869
17.03.2004;06:00:00;891
17.03.2004;07:00:00;1173
17.03.2004;08:00:00;1587
17.03.2004;09:00:00;1852
17.03.2004;10:00:00;1522
17.03.2004;11:00:00;1438
17.03.2004;12:00:00;1393
17.03.2004;13:00:00;1452
17.03.2004;14:00:00;1389
17.03.2004;15:00:00;1207
17.03.2004;16:00:00;1365
17.03.2004;17:00:00;1247
17.03.2004;18:00:00;1557
17.03.2004;19:00:00;1973
17.03.2004;20:00:00;1975
17.03.2004;21:00:00;1795
17.03.2004;22:00:00;1444
17.03.2004;23:00:00;1488
18.03.2004;00:00:00;1371
18.03.2004;01:00:00;1161
18.03.2004;02:00:00;1064
18.03.2004;03:00:00;970
18.03.2004;04:00:00;954
18.03.2004;05:00:00;931
18.03.2004;06:00:00;938
18.03.2004;07:00:00;1166
18.03.2004;08:00:00;1643
18.03.2004;09:00:00;1934
18.03.2004;10:00:00;1617
18.03.2004;11:00:00;1473
18.03.2004;12:00:00;1379
18.03.2004;13:00:00;1385
18.03.2004;14:00:00;1379
18.03.2004;15:00:00;1322
18.03.2004;16:00:00;1496
18.03.2004;17:00:00;1409
18.03.2004;18:00:00;1513
18.03.2004;19:00:00;1667
18.03.2004;20:00:00;1667
18.03.2004;21:00:00;1430
18.03.2004;22:00:00;1333
18.03.2004;23:00:00;1262
19.03.2004;00:00:00;1287
19.03.2004;01:00:00;1134
19.03.2004;02:00:00;999
19.03.2004;03:00:00;961
19.03.2004;04:00:00;934
19.03.2004;05:00:00;913
19.03.2004;06:00:00;969
19.03.2004;07:00:00;1182
19.03.2004;08:00:00;1740
19.03.2004;09:00:00;1819
19.03.2004;10:00:00;1427
19.03.2004;11:00:00;1390
19.03.2004;12:00:00;1283
19.03.2004;13:00:00;1304
19.03.2004;14:00:00;1364
19.03.2004;15:00:00;1410
19.03.2004;16:00:00;1476
19.03.2004;17:00:00;1522
19.03.2004;18:00:00;1442
19.03.2004;19:00:00;1469
19.03.2004;20:00:00;1467
19.03.2004;21:00:00;1421
19.03.2004;22:00:00;1175
19.03.2004;23:00:00;1215
20.03.2004;00:00:00;1127
20.03.2004;01:00:00;1090
20.03.2004;02:00:00;1017
20.03.2004;03:00:00;997
20.03.2004;04:00:00;945
20.03.2004;05:00:00;956
20.03.2004;06:00:00;966
20.03.2004;07:00:00;1064
20.03.2004;08:00:00;1300
20.03.2004;09:00:00;1348
20.03.2004;10:00:00;1425
20.03.2004;11:00:00;1474
20.03.2004;12:00:00;1490
20.03.2004;13:00:00;1495
20.03.2004;14:00:00;1376
20.03.2004;15:00:00;1305
20.03.2004;16:00:00;1283
20.03.2004;17:00:00;1392
20.03.2004;18:00:00;1452
20.03.2004;19:00:00;1633
20.03.2004;20:00:00;1625
20.03.2004;21:00:00;1535
20.03.2004;22:00:00;1323
20.03.2004;23:00:00;1309
21.03.2004;00:00:00;1456
21.03.2004;01:00:00;1300
21.03.2004;02:00:00;1203
21.03.2004;03:00:00;1195
21.03.2004;04:00:00;1117
21.03.2004;05:00:00;1062
21.03.2004;06:00:00;947
21.03.2004;07:00:00;1065
21.03.2004;08:00:00;1155
21.03.2004;09:00:00;1220
21.03.2004;10:00:00;1301
21.03.2004;11:00:00;1279
21.03.2004;12:00:00;1267
21.03.2004;13:00:00;1239
21.03.2004;14:00:00;1128
21.03.2004;15:00:00;1243
21.03.2004;16:00:00;1208
21.03.2004;17:00:00;1306
21.03.2004;18:00:00;1546
21.03.2004;19:00:00;1501
21.03.2004;20:00:00;1605
21.03.2004;21:00:00;1316
21.03.2004;22:00:00;1195
21.03.2004;23:00:00;1211
