countrycode;country;currency_unit;year;rgdpe;rgdpo;pop;emp;avh;hc;ccon;cda;cgdpe;cgdpo;ck;ctfp;cwtfp;rgdpna;rconna;rdana;rkna;rtfpna;rwtfpna;labsh;delta;xr;pl_con;pl_da;pl_gdpo;i_cig;i_xm;i_xr;i_outlier;cor_exp;statcap;csh_c;csh_i;csh_g;csh_x;csh_m;csh_r;pl_c;pl_i;pl_g;pl_x;pl_m;pl_k
POL;Poland;Zloty;1970;173129,4219;167580,2344;32,816751;14,67818451;;2,300458193;143854,0625;169912,1406;163590,2656;163397,9531;314219,9063;0,422729015;0,438590109;247634;210134,0781;252254,8438;396633,0313;0,649016201;0,631628811;0,653633714;0,039576922;0,004;0,163991839;0,172851577;0,173055023;Extrapolated;Extrapolated;Market;Regular;;;0,602995157;0,159476191;0,277395666;0,023964446;-0,019176964;-0,044654533;0,182762684;0,221761926;0,12318829;0,334218949;0,363421261;0,233975559
POL;Poland;Zloty;1971;185923,1875;179941;33,068997;14,94336033;;2,332807064;154236,25;182562,2344;175623,8125;175485,1719;333018,5625;0,433234125;0,448243678;265996,375;225929,4688;271161,5;416074,1563;0,671546876;0,654042184;0,653633714;0,040893197;0,003893333;0,169732749;0,178267255;0,178408086;Extrapolated;Extrapolated;Market;Regular;;;0,599407732;0,161415219;0,27950561;0,025403187;-0,01983344;-0,045898262;0,190024369;0,224737962;0,126216813;0,344204903;0,383377284;0,238598689
POL;Poland;Zloty;1972;194722,8281;190113,9688;33,328713;15,30793762;;2,365610838;161305,9375;191023;183815,0938;185425,4844;352665,0938;0,43197155;0,441506326;278440,2188;236573,0781;283848,9063;436472,2813;0,674413979;0,656839073;0,653633714;0,042049013;0,00368;0,179346547;0,188313976;0,186678514;Extrapolated;Extrapolated;Market;Regular;;;0,588886261;0,160264224;0,281037003;0,025372129;-0,026821386;-0,028738229;0,20232142;0,236989723;0,131204903;0,359064102;0,412566632;0,249557436
POL;Poland;Zloty;1973;203033,1406;200456,7969;33,59781;15,62316704;;2,398875952;166597,6719;197845,8906;190550,1094;194466,1719;375040,5313;0,429424584;0,436981291;290083,8438;246392,4375;295528,0938;456962,4063;0,676187277;0,658141673;0,653633714;0,043224875;0,00335;0,205267355;0,215035215;0,210704952;Extrapolated;Extrapolated;Market;Regular;;;0,578208148;0,160687178;0,278484166;0,032330669;-0,042026427;-0,007683738;0,232212989;0,267111885;0,149320963;0,378668338;0,444745779;0,279212922
POL;Poland;Zloty;1974;217526,75;216059,125;33,877397;15,88425827;;2,432608843;178413,5156;212968,5625;205377,1875;210375,0625;403813,8125;0,459852487;0,466282725;310711;263656,4063;316146;478697,1563;0,698620915;0,679125071;0,653633714;0,044600219;0,00332;0,214564696;0,223860815;0,218542576;Extrapolated;Extrapolated;Market;Regular;;;0,570495248;0,164254472;0,277578264;0,051067676;-0,065609545;0,002213844;0,24331764;0,271858235;0,15546997;0,329250067;0,386770874;0,284672856
POL;Poland;Zloty;1975;229634,625;228915,1406;34,168112;15,98044205;;2,466815948;188557,9688;226646,4375;218086,2031;223959,1719;430496,7188;0,480646372;0,491469294;329171,4688;278435,625;335162,4688;502103,3438;0,718536019;0,698970497;0,653633714;0,045317128;0,00332;0,216069534;0,224465221;0,218578964;Benchmark;Extrapolated;Market;Regular;0,321186083;;0,565868258;0,170068786;0,276061893;0,052411918;-0,069843255;0,005432417;0,245296575;0,266028198;0,156160327;0,351782352;0,403826863;0,284060538
POL;Poland;Zloty;1976;237289,9844;235317,9688;34,468877;15,94279575;;2,472627401;194123,25;233988,4531;224165,3906;229060,0156;438597,1563;0,480449736;0,490483612;355260,25;303165,9688;363522,1563;527503,6875;0,762344122;0,745267987;0,653633714;0,045672901;0,00332;0,237740889;0,243461832;0,238259479;Interpolated;Extrapolated;Market;Regular;;;0,580664277;0,174038246;0,266813368;0,051698171;-0,065191455;-0,008022624;0,265277403;0,271319872;0,177813354;0,379887134;0,432091415;0,296306849
POL;Poland;Zloty;1977;244815,9688;240995,2969;34,779313;16,02448654;;2,478452682;198498,6094;239860,8438;231137,4844;234339,4844;455593,9375;0,482145548;0,488929182;380435,2813;323725,6563;387854,5;554110,5;0,798664272;0,777910173;0,653633714;0,045633681;0,00332;0,254214108;0,261876315;0,258298039;Interpolated;Extrapolated;Market;Regular;;;0,584472239;0,17650561;0,262583494;0,052655265;-0,058648292;-0,01756832;0,281608046;0,298647437;0,193239274;0,38570118;0,435132295;0,313067555
POL;Poland;Zloty;1978;248409,8438;244049,7188;35,100942;16,48295403;;2,484291792;199064,3438;241923,6406;234044,8125;236436,6094;476779,0625;0,469994009;0,476259798;400979,7813;340053,125;407193;581715,5;0,811366439;0,787176311;0,653633714;0,045236479;0,0033;0,285379261;0,292892218;0,28992933;Interpolated;Extrapolated;Market;Regular;;;0,58542043;0,181271866;0,256514937;0,049505327;-0,055584881;-0,017127676;0,31310442;0,327786939;0,222104724;0,411760688;0,452976614;0,33844927
POL;Poland;Zloty;1979;248518,4375;244334,4531;35,435627;16,60114098;;2,490144491;197588,75;240956,3438;233861,3906;237006,2188;497761,9063;0,465980232;0,472443253;416406;351595,0938;421036,75;610189,9375;0,823619783;0,795622349;0,653633714;0,045443635;0,00332;0,319587439;0,328129262;0,323775321;Interpolated;Extrapolated;Market;Regular;;;0,584788084;0,182980835;0,24889788;0,06578315;-0,068186991;-0,014262963;0,345966181;0,367047016;0,257610312;0,389328957;0,451935083;0,366940677
