naz_glowna;el_rozr;szer_geo;dlug_geo;wsp_pro_Y;wsp_pro_X;panstwo;woj;powiat;gmina
Abisynia;Abisynia;52??07'01'';22??29'53'';478092.41;739410.67;Polska;mazowieckie;siedlecki;Zbuczyn-gmina wiejska
Abisynia;Abisynia;52??03'36'';22??31'35'';471848.77;741655.00;Polska;mazowieckie;siedlecki;Zbuczyn-gmina wiejska
Abramy;Abramy;52??15'15'';21??47'59'';491258.67;691036.24;Polska;mazowieckie;mi?‰ski;Ka?Èuszyn-obszar wiejski
Adamczycha;Adamczycha;53??06'25'';21??15'46'';584793.25;651423.93;Polska;mazowieckie;ostro?È?÷cki;Baranowo-gmina wiejska
Adamin??w;;51??34'36'';21??07'59'';414395.98;647760.58;Polska;mazowieckie;radomski;Jedli?‰sk-gmina wiejska
Adamka;Adamka;53??08'54'';21??39'10'';590278.16;677346.91;Polska;mazowieckie;ostro?È?÷cki;Lelis-gmina wiejska
Adamowa G??ra;;52??15'48'';20??12'33'';489278.22;582495.70;Polska;mazowieckie;sochaczewski;M?Èodzieszyn-gmina wiejska
Adamowice;;51??56'28'';20??28'51'';453796.93;601760.10;Polska;mazowieckie;??yrardowski;Mszczon??w-obszar wiejski
Adamowizna;Adamowizna;52??04'21'';20??38'11'';468633.57;612120.05;Polska;mazowieckie;grodziski;Grodzisk Mazowiecki-obszar wiejski
Adamowizna A;Adamowizna A;52??04'12'';20??38'18'';468349.06;612259.53;Polska;mazowieckie;grodziski;Grodzisk Mazowiecki-obszar wiejski
Adamowizna B;Adamowizna B;52??04'29'';20??38'29'';468878.91;612456.55;Polska;mazowieckie;grodziski;Grodzisk Mazowiecki-obszar wiejski
Adamowo;;52??50'34'';19??29'12'';553134.86;532768.95;Polska;mazowieckie;sierpecki;Mochowo-gmina wiejska
Adamowo;;52??54'45'';19??53'34'';561150.50;560017.03;Polska;mazowieckie;??uromi?‰ski;Bie??u?‰-obszar wiejski
Adamowo;Adamowo;52??54'52'';20??10'39'';561634.69;579157.37;Polska;mazowieckie;m?Èawski;Strzegowo-gmina wiejska
Adamowo;Adamowo;52??54'49'';21??16'30'';563325.71;652926.04;Polska;mazowieckie;makowski;Czerwonka-gmina wiejska
Adamowo;Adamowo;52??39'47'';20??41'60'';534382.08;614931.97;Polska;mazowieckie;p?Èo?‰ski;Nowe Miasto-gmina wiejska
Adamowo;Adamowo;52??34'08'';20??36'27'';523772.69;608908.60;Polska;mazowieckie;p?Èo?‰ski;Joniec-gmina wiejska
Adamowo;Adamowo;52??34'23'';20??53'23'';524721.28;628022.87;Polska;mazowieckie;nowodworski;Nasielsk-obszar wiejski
Adamowo;;52??44'03'';21??29'40'';543863.44;668364.77;Polska;mazowieckie;wyszkowski;D?Èugosiod?Èo-gmina wiejska
Adam??w;Adam??w;52??20'27'';19??38'40'';497402.80;543891.27;Polska;mazowieckie;gostyni?‰ski;Szczawin Ko?çcielny-gmina wiejska
Adam??w;Adam??w;52??08'48'';20??38'06'';476889.63;611833.88;Polska;mazowieckie;grodziski;Grodzisk Mazowiecki-obszar wiejski
Adam??w;;52??19'03'';21??48'17'';498315.88;691103.92;Polska;mazowieckie;w?÷growski;Wierzbno-gmina wiejska
Adam??w;Adam??w;52??16'49'';21??42'15'';493931.28;684409.07;Polska;mazowieckie;mi?‰ski;Dobre-gmina wiejska
Adam??w;Adam??w;51??40'10'';20??54'39'';424291.68;632105.74;Polska;mazowieckie;bia?Èobrzeski;Promna-gmina wiejska
Adam??w;Adam??w;51??43'21'';21??18'04'';430960.26;658888.87;Polska;mazowieckie;kozienicki;Grab??w nad Pilic?˘-gmina wiejska
Adam??w;Adam??w;51??37'08'';21??22'18'';419609.98;664140.69;Polska;mazowieckie;kozienicki;G?Èowacz??w-gmina wiejska
Adam??w;Adam??w;51??30'14'';20??44'55'';405606.51;621325.22;Polska;mazowieckie;przysuski;Potwor??w-gmina wiejska
Adam??w;Adam??w;51??22'45'';21??23'05'';392980.96;665907.11;Polska;mazowieckie;radomski;G??zd-gmina wiejska
Adam??w;;51??19'24'';21??02'31'';386054.40;642235.00;Polska;mazowieckie;radomski;Kowala-gmina wiejska
Adam??w;Adam??w;51??01'44'';21??26'35'';354180.31;671259.53;Polska;mazowieckie;lipski;Sienno-gmina wiejska
Adam??w-Parcel;Adam??w-Parcel;52??00'57'';20??34'36'';462242.85;608165.06;Polska;mazowieckie;??yrardowski;Radziejowice-gmina wiejska
Adam??w-Wie?ç;Adam??w-Wie?ç;52??01'51'';20??35'38'';463936.31;609309.92;Polska;mazowieckie;??yrardowski;Radziejowice-gmina wiejska
